timestamp,container,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-04-27T08:17:31.4766038+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:17:31.4766038+05:30,mediroute_backend,1.65%,219.5MiB / 3.529GiB,6.08%,979kB / 694kB,170MB / 0B,30
2026-04-27T08:17:31.4766038+05:30,mediroute_db,0.00%,45.18MiB / 3.529GiB,1.25%,379kB / 204kB,40.5MB / 573kB,7
2026-04-27T08:17:31.4766038+05:30,mediroute_redis,3.41%,6.984MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:17:48.5940174+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:17:48.5940174+05:30,mediroute_backend,1.58%,219.1MiB / 3.529GiB,6.06%,1.1MB / 729kB,170MB / 0B,30
2026-04-27T08:17:48.5940174+05:30,mediroute_db,5.24%,45.21MiB / 3.529GiB,1.25%,379kB / 204kB,40.5MB / 573kB,7
2026-04-27T08:17:48.5940174+05:30,mediroute_redis,0.62%,6.723MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:18:05.7030021+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:18:05.7030021+05:30,mediroute_backend,7.73%,219.6MiB / 3.529GiB,6.08%,1.3MB / 910kB,170MB / 0B,30
2026-04-27T08:18:05.7030021+05:30,mediroute_db,0.66%,45.2MiB / 3.529GiB,1.25%,509kB / 271kB,40.5MB / 573kB,7
2026-04-27T08:18:05.7030021+05:30,mediroute_redis,0.56%,7.223MiB / 3.529GiB,0.20%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:18:22.4477085+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:18:22.4477085+05:30,mediroute_backend,1.64%,219.5MiB / 3.529GiB,6.07%,1.46MB / 1MB,170MB / 0B,30
2026-04-27T08:18:22.4477085+05:30,mediroute_db,5.40%,45.19MiB / 3.529GiB,1.25%,558kB / 296kB,40.5MB / 573kB,7
2026-04-27T08:18:22.4477085+05:30,mediroute_redis,0.49%,6.727MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:18:39.4929302+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:18:39.4929302+05:30,mediroute_backend,1.65%,219.8MiB / 3.529GiB,6.08%,1.57MB / 1.04MB,170MB / 0B,30
2026-04-27T08:18:39.4929302+05:30,mediroute_db,0.00%,45.19MiB / 3.529GiB,1.25%,558kB / 296kB,40.5MB / 573kB,7
2026-04-27T08:18:39.4929302+05:30,mediroute_redis,0.59%,6.73MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:18:56.6091124+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:18:56.6091124+05:30,mediroute_backend,3.39%,219.9MiB / 3.529GiB,6.09%,1.7MB / 1.08MB,170MB / 0B,30
2026-04-27T08:18:56.6091124+05:30,mediroute_db,0.19%,45.2MiB / 3.529GiB,1.25%,561kB / 298kB,40.5MB / 573kB,7
2026-04-27T08:18:56.6091124+05:30,mediroute_redis,0.48%,6.758MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:19:13.4768134+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:19:13.4768134+05:30,mediroute_backend,1.64%,219.9MiB / 3.529GiB,6.09%,1.94MB / 1.31MB,170MB / 0B,30
2026-04-27T08:19:13.4768134+05:30,mediroute_db,0.00%,45.2MiB / 3.529GiB,1.25%,736kB / 388kB,40.5MB / 573kB,7
2026-04-27T08:19:13.4768134+05:30,mediroute_redis,0.46%,6.98MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:19:30.6666102+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:19:30.6666102+05:30,mediroute_backend,1.64%,220.8MiB / 3.529GiB,6.11%,2.05MB / 1.35MB,170MB / 0B,31
2026-04-27T08:19:30.6666102+05:30,mediroute_db,0.00%,45.2MiB / 3.529GiB,1.25%,736kB / 388kB,40.5MB / 573kB,7
2026-04-27T08:19:30.6666102+05:30,mediroute_redis,3.01%,6.938MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:19:47.7771490+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:19:47.7771490+05:30,mediroute_backend,1.63%,220.1MiB / 3.529GiB,6.09%,2.18MB / 1.38MB,170MB / 0B,30
2026-04-27T08:19:47.7771490+05:30,mediroute_db,5.79%,45.41MiB / 3.529GiB,1.26%,736kB / 388kB,40.5MB / 573kB,7
2026-04-27T08:19:47.7771490+05:30,mediroute_redis,0.51%,6.734MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:20:04.8819209+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:20:04.8819209+05:30,mediroute_backend,6.91%,220.4MiB / 3.529GiB,6.10%,2.37MB / 1.55MB,170MB / 0B,30
2026-04-27T08:20:04.8819209+05:30,mediroute_db,0.61%,45.2MiB / 3.529GiB,1.25%,853kB / 448kB,40.5MB / 573kB,7
2026-04-27T08:20:04.8819209+05:30,mediroute_redis,3.12%,6.738MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:20:21.5564089+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:20:21.5564089+05:30,mediroute_backend,1.76%,220.2MiB / 3.529GiB,6.09%,2.53MB / 1.66MB,170MB / 0B,31
2026-04-27T08:20:21.5564089+05:30,mediroute_db,0.02%,45.24MiB / 3.529GiB,1.25%,915kB / 480kB,40.5MB / 766kB,7
2026-04-27T08:20:21.5564089+05:30,mediroute_redis,0.60%,6.98MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:20:38.6679463+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:20:38.6679463+05:30,mediroute_backend,1.58%,220.9MiB / 3.529GiB,6.11%,2.65MB / 1.69MB,170MB / 0B,30
2026-04-27T08:20:38.6679463+05:30,mediroute_db,0.00%,45.24MiB / 3.529GiB,1.25%,915kB / 480kB,40.5MB / 774kB,7
2026-04-27T08:20:38.6679463+05:30,mediroute_redis,1.30%,8.73MiB / 3.529GiB,0.24%,2.16kB / 126B,12.5MB / 0B,12
2026-04-27T08:20:55.7757127+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:20:55.7757127+05:30,mediroute_backend,1.65%,220.8MiB / 3.529GiB,6.11%,2.77MB / 1.73MB,170MB / 0B,30
2026-04-27T08:20:55.7757127+05:30,mediroute_db,0.00%,45.25MiB / 3.529GiB,1.25%,915kB / 480kB,40.5MB / 774kB,7
2026-04-27T08:20:55.7757127+05:30,mediroute_redis,0.55%,7.008MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:21:12.5583134+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:21:12.5583134+05:30,mediroute_backend,1.58%,220.9MiB / 3.529GiB,6.11%,3MB / 1.96MB,170MB / 0B,30
2026-04-27T08:21:12.5583134+05:30,mediroute_db,0.56%,45.24MiB / 3.529GiB,1.25%,1.09MB / 573kB,40.5MB / 774kB,7
2026-04-27T08:21:12.5583134+05:30,mediroute_redis,0.37%,6.734MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:21:29.6874220+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:21:29.6874220+05:30,mediroute_backend,1.27%,220.6MiB / 3.529GiB,6.10%,3.13MB / 2MB,170MB / 0B,31
2026-04-27T08:21:29.6874220+05:30,mediroute_db,0.00%,45.24MiB / 3.529GiB,1.25%,1.09MB / 573kB,40.5MB / 774kB,7
2026-04-27T08:21:29.6874220+05:30,mediroute_redis,2.63%,6.762MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:21:46.8010716+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:21:46.8010716+05:30,mediroute_backend,1.55%,220.5MiB / 3.529GiB,6.10%,3.25MB / 2.03MB,170MB / 0B,30
2026-04-27T08:21:46.8010716+05:30,mediroute_db,5.38%,45.41MiB / 3.529GiB,1.26%,1.09MB / 573kB,40.5MB / 774kB,7
2026-04-27T08:21:46.8010716+05:30,mediroute_redis,0.49%,6.734MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:22:04.6332790+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:22:04.6332790+05:30,mediroute_backend,8.14%,222.4MiB / 3.529GiB,6.16%,3.45MB / 2.21MB,170MB / 0B,39
2026-04-27T08:22:04.6332790+05:30,mediroute_db,0.65%,52.32MiB / 3.529GiB,1.45%,1.22MB / 640kB,40.5MB / 774kB,11
2026-04-27T08:22:04.6332790+05:30,mediroute_redis,3.34%,6.742MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:22:21.7592846+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:22:21.7592846+05:30,mediroute_backend,1.73%,222.7MiB / 3.529GiB,6.16%,3.62MB / 2.31MB,170MB / 0B,33
2026-04-27T08:22:21.7592846+05:30,mediroute_db,0.00%,52.3MiB / 3.529GiB,1.45%,1.28MB / 671kB,40.5MB / 774kB,11
2026-04-27T08:22:21.7592846+05:30,mediroute_redis,0.50%,6.738MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:22:38.8947981+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:22:38.8947981+05:30,mediroute_backend,1.37%,222.6MiB / 3.529GiB,6.16%,3.74MB / 2.35MB,170MB / 0B,33
2026-04-27T08:22:38.8947981+05:30,mediroute_db,4.87%,52.32MiB / 3.529GiB,1.45%,1.28MB / 671kB,40.5MB / 774kB,11
2026-04-27T08:22:38.8947981+05:30,mediroute_redis,2.65%,7.504MiB / 3.529GiB,0.21%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:22:56.0189468+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:22:56.0189468+05:30,mediroute_backend,1.49%,223.2MiB / 3.529GiB,6.18%,3.86MB / 2.38MB,170MB / 0B,34
2026-04-27T08:22:56.0189468+05:30,mediroute_db,0.00%,52.39MiB / 3.529GiB,1.45%,1.28MB / 671kB,40.6MB / 774kB,11
2026-04-27T08:22:56.0189468+05:30,mediroute_redis,0.56%,7MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:23:12.6774275+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:23:12.6774275+05:30,mediroute_backend,1.64%,223.2MiB / 3.529GiB,6.18%,4.08MB / 2.62MB,170MB / 0B,34
2026-04-27T08:23:12.6774275+05:30,mediroute_db,0.01%,52.4MiB / 3.529GiB,1.45%,1.45MB / 763kB,40.6MB / 774kB,11
2026-04-27T08:23:12.6774275+05:30,mediroute_redis,0.52%,6.75MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:23:29.8016042+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:23:29.8016042+05:30,mediroute_backend,1.63%,223MiB / 3.529GiB,6.17%,4.2MB / 2.66MB,170MB / 0B,33
2026-04-27T08:23:29.8016042+05:30,mediroute_db,0.00%,52.4MiB / 3.529GiB,1.45%,1.45MB / 763kB,40.6MB / 774kB,11
2026-04-27T08:23:29.8016042+05:30,mediroute_redis,0.62%,7.242MiB / 3.529GiB,0.20%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:23:46.9105610+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:23:46.9105610+05:30,mediroute_backend,1.60%,222.6MiB / 3.529GiB,6.16%,4.33MB / 2.69MB,170MB / 0B,33
2026-04-27T08:23:46.9105610+05:30,mediroute_db,5.67%,52.55MiB / 3.529GiB,1.45%,1.45MB / 763kB,40.6MB / 774kB,11
2026-04-27T08:23:46.9105610+05:30,mediroute_redis,0.50%,7MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:24:03.7027891+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:24:03.7027891+05:30,mediroute_backend,8.12%,222.7MiB / 3.529GiB,6.16%,4.52MB / 2.85MB,170MB / 0B,33
2026-04-27T08:24:03.7027891+05:30,mediroute_db,0.67%,52.4MiB / 3.529GiB,1.45%,1.55MB / 812kB,40.6MB / 774kB,11
2026-04-27T08:24:03.7027891+05:30,mediroute_redis,2.69%,6.746MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:24:20.8292074+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:24:20.8292074+05:30,mediroute_backend,1.70%,223.3MiB / 3.529GiB,6.18%,4.69MB / 2.97MB,170MB / 0B,33
2026-04-27T08:24:20.8292074+05:30,mediroute_db,0.00%,52.39MiB / 3.529GiB,1.45%,1.63MB / 855kB,40.6MB / 774kB,11
2026-04-27T08:24:20.8292074+05:30,mediroute_redis,0.59%,7MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:24:37.9575502+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:24:37.9575502+05:30,mediroute_backend,1.83%,223.1MiB / 3.529GiB,6.17%,4.8MB / 3MB,170MB / 0B,33
2026-04-27T08:24:37.9575502+05:30,mediroute_db,0.00%,52.39MiB / 3.529GiB,1.45%,1.63MB / 855kB,40.6MB / 774kB,11
2026-04-27T08:24:37.9575502+05:30,mediroute_redis,2.74%,7.051MiB / 3.529GiB,0.20%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:24:55.0688025+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:24:55.0688025+05:30,mediroute_backend,1.64%,223.4MiB / 3.529GiB,6.18%,4.92MB / 3.04MB,170MB / 0B,33
2026-04-27T08:24:55.0688025+05:30,mediroute_db,0.00%,52.39MiB / 3.529GiB,1.45%,1.63MB / 855kB,40.6MB / 774kB,11
2026-04-27T08:24:55.0688025+05:30,mediroute_redis,0.64%,6.996MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:25:11.8029222+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:25:11.8029222+05:30,mediroute_backend,1.57%,223.4MiB / 3.529GiB,6.18%,5.16MB / 3.27MB,170MB / 0B,34
2026-04-27T08:25:11.8029222+05:30,mediroute_db,0.01%,52.39MiB / 3.529GiB,1.45%,1.81MB / 947kB,40.6MB / 774kB,11
2026-04-27T08:25:11.8029222+05:30,mediroute_redis,0.58%,7.051MiB / 3.529GiB,0.20%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:25:28.8977633+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:25:28.8977633+05:30,mediroute_backend,1.73%,223.5MiB / 3.529GiB,6.19%,5.27MB / 3.31MB,170MB / 0B,34
2026-04-27T08:25:28.8977633+05:30,mediroute_db,0.00%,52.39MiB / 3.529GiB,1.45%,1.81MB / 947kB,40.6MB / 774kB,11
2026-04-27T08:25:28.8977633+05:30,mediroute_redis,0.63%,7MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:25:46.0134020+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:25:46.0134020+05:30,mediroute_backend,1.71%,223.7MiB / 3.529GiB,6.19%,5.4MB / 3.34MB,170MB / 0B,35
2026-04-27T08:25:46.0134020+05:30,mediroute_db,5.57%,52.88MiB / 3.529GiB,1.46%,1.81MB / 947kB,40.6MB / 774kB,11
2026-04-27T08:25:46.0134020+05:30,mediroute_redis,0.58%,6.746MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:26:02.7911940+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:26:02.7911940+05:30,mediroute_backend,81.98%,223.1MiB / 3.529GiB,6.17%,5.48MB / 3.37MB,170MB / 0B,33
2026-04-27T08:26:02.7911940+05:30,mediroute_db,0.00%,52.4MiB / 3.529GiB,1.45%,1.81MB / 947kB,40.6MB / 774kB,11
2026-04-27T08:26:02.7911940+05:30,mediroute_redis,0.56%,6.746MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:26:19.9690353+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:26:19.9690353+05:30,mediroute_backend,0.41%,223.1MiB / 3.529GiB,6.17%,5.49MB / 3.38MB,170MB / 0B,33
2026-04-27T08:26:19.9690353+05:30,mediroute_db,0.08%,52.73MiB / 3.529GiB,1.46%,1.82MB / 957kB,40.6MB / 823kB,11
2026-04-27T08:26:19.9690353+05:30,mediroute_redis,0.62%,7MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
